ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
154	-1	8	3	0.0053146	0.0729013031433595	0.0729013	-2.27453
155	-1	8	2	0.0053144	0.0728999314128621	0.0728999	-2.27455
156	-1	8	3	0.0053144	0.0728999314128621	0.0728999	-2.27455
157	-1	8	3	0.0053143	0.0728992455379341	0.0728992	-2.27455
158	-1	8	3	0.0053141	0.0728978737687184	0.0728979	-2.27457
159	-1	8	3	0.0053141	0.0728978737687184	0.0728979	-2.27457
160	-1	6	2	0.0053139	0.0728965019736887	0.0728965	-2.27459
161	-1	6	2	0.0053139	0.0728965019736887	0.0728965	-2.27459
162	-1	8	2	0.0053139	0.0728965019736887	0.0728965	-2.27459
163	-1	8	2	0.0053138	0.0728958160664931	0.0728958	-2.27459
164	-1	8	2	0.0053137	0.0728951301528435	0.0728951	-2.2746
165	-1	8	3	0.0053137	0.0728951301528435	0.0728951	-2.2746
166	6	8	2	0.0053135	0.0728937583061815	0.0728938	-2.27462
167	-1	6	2	0.0053135	0.0728937583061815	0.0728938	-2.27462
168	-1	8	3	0.0053135	0.0728937583061815	0.0728938	-2.27462
169	-1	8	3	0.0053134	0.0728930723731686	0.0728931	-2.27463
170	-1	8	3	0.0053133	0.072892386433701	0.0728924	-2.27464
171	-1	8	3	0.0053132	0.0728917004877784	0.0728917	-2.27464
172	-1	8	3	0.0053132	0.0728917004877784	0.0728917	-2.27464
173	1	4	1	0.0053131	0.0728910145354007	0.072891	-2.27465
174	-1	8	2	0.0053129	0.0728896426112791	0.0728896	-2.27467
175	-1	8	3	0.0053129	0.0728896426112791	0.0728896	-2.27467
176	1	6	1	0.0053128	0.0728889566395349	0.072889	-2.27468
177	-1	8	2	0.0053128	0.0728889566395349	0.072889	-2.27468
178	2	6	2	0.0053125	0.0728868986855663	0.0728869	-2.2747
179	5	6	2	0.0053124	0.0728862126879974	0.0728862	-2.27471
180	-1	8	3	0.0053123	0.072885526683972	0.0728855	-2.27472
181	5	6	2	0.0053121	0.0728841546565507	0.0728842	-2.27473
182	3	4	2	0.0053121	0.0728841546565507	0.0728842	-2.27473
183	-1	8	2	0.0053119	0.0728827826033008	0.0728828	-2.27475
184	5	8	2	0.0053118	0.0728820965669896	0.0728821	-2.27476
185	-1	8	3	0.0053118	0.0728820965669896	0.0728821	-2.27476
186	-1	8	3	0.0053118	0.0728820965669896	0.0728821	-2.27476
187	1	6	1	0.0053117	0.0728814105242208	0.0728814	-2.27477
188	1	4	1	0.0053116	0.0728807244749941	0.0728807	-2.27477
189	8	6	2	0.0053115	0.0728800384193093	0.07288	-2.27478
190	-1	8	3	0.0053115	0.0728800384193093	0.07288	-2.27478
191	-1	8	3	0.0053114	0.0728793523571663	0.0728794	-2.27479
192	-1	8	3	0.0053113	0.0728786662885649	0.0728787	-2.2748
193	-1	8	2	0.005311	0.0728766080440082	0.0728766	-2.27482
194	-1	6	3	0.0053109	0.0728759219495713	0.0728759	-2.27483
195	-1	6	2	0.0053109	0.0728759219495713	0.0728759	-2.27483
196	-1	8	2	0.0053108	0.072875235848675	0.0728752	-2.27484
197	3	6	2	0.0053107	0.0728745497413192	0.0728745	-2.27485
198	-1	8	2	0.0053107	0.0728745497413192	0.0728745	-2.27485
199	8	4	2	0.0053107	0.0728745497413192	0.0728745	-2.27485
200	-1	4	2	0.0053107	0.0728745497413192	0.0728745	-2.27485
201	3	8	3	0.0053107	0.0728745497413192	0.0728745	-2.27485
202	-1	8	2	0.0053106	0.0728738636275037	0.0728739	-2.27486
203	1	6	1	0.0053104	0.0728724913804928	0.0728725	-2.27487
204	2	8	3	0.0053104	0.0728724913804928	0.0728725	-2.27487
205	4	8	3	0.0053104	0.0728724913804928	0.0728725	-2.27487
206	-1	8	3	0.0053104	0.0728724913804928	0.0728725	-2.27487
207	6	8	3	0.0053104	0.0728724913804928	0.0728725	-2.27487
208	-1	8	2	0.0053103	0.0728718052472971	0.0728718	-2.27488
209	-1	8	2	0.0053102	0.072871119107641	0.0728711	-2.27489
210	2	8	3	0.0053102	0.072871119107641	0.0728711	-2.27489
211	-1	8	2	0.0053102	0.072871119107641	0.0728711	-2.27489
212	-1	6	2	0.00531	0.0728697468089467	0.0728697	-2.27491
213	-1	6	2	0.00531	0.0728697468089467	0.0728697	-2.27491
214	8	6	2	0.00531	0.0728697468089467	0.0728697	-2.27491
215	7	8	3	0.0053099	0.0728690606499082	0.0728691	-2.27491
216	6	8	3	0.0053099	0.0728690606499082	0.0728691	-2.27491
217	-1	6	2	0.0053099	0.0728690606499082	0.0728691	-2.27491
218	-1	8	3	0.0053099	0.0728690606499082	0.0728691	-2.27491
219	-1	8	2	0.0053096	0.072867002134025	0.072867	-2.27494
220	-1	8	3	0.0053094	0.0728656297577946	0.0728656	-2.27495
221	-1	8	3	0.0053093	0.0728649435599864	0.0728649	-2.27496
222	-1	8	3	0.0053091	0.072863571144983	0.0728636	-2.27498
223	-1	8	2	0.005309	0.0728628849277875	0.0728629	-2.27499
224	-1	6	2	0.005309	0.0728628849277875	0.0728629	-2.27499
225	-1	8	3	0.005309	0.0728628849277875	0.0728629	-2.27499
226	8	6	2	0.0053089	0.0728621987041291	0.0728622	-2.275
227	2	8	3	0.0053089	0.0728621987041291	0.0728622	-2.275
228	-1	8	3	0.0053089	0.0728621987041291	0.0728622	-2.275
229	5	8	2	0.0053088	0.0728615124740078	0.0728615	-2.275
230	8	8	2	0.0053086	0.0728601399943755	0.0728601	-2.27502
231	-1	6	2	0.0053086	0.0728601399943755	0.0728601	-2.27502
232	6	8	3	0.0053084	0.0728587674888891	0.0728588	-2.27504
233	-1	6	3	0.0053084	0.0728587674888891	0.0728588	-2.27504
234	-1	8	2	0.0053084	0.0728587674888891	0.0728588	-2.27504
235	1	4	1	0.0053081	0.0728567086821797	0.0728567	-2.27506
236	8	6	2	0.005308	0.0728560224003479	0.072856	-2.27507
237	-1	8	3	0.005308	0.0728560224003479	0.072856	-2.27507
238	5	8	3	0.0053077	0.0728539635160641	0.072854	-2.27509
239	4	8	3	0.0053075	0.072852590894216	0.0728526	-2.27511
240	-1	8	2	0.0053075	0.072852590894216	0.0728526	-2.27511
241	-1	8	3	0.0053074	0.0728519045735937	0.0728519	-2.27512
242	7	8	3	0.0053074	0.0728519045735937	0.0728519	-2.27512
243	1	2	1	0.0053074	0.0728519045735937	0.0728519	-2.27512
244	6	8	2	0.0053072	0.0728505319129517	0.0728505	-2.27513
245	4	8	3	0.005307	0.0728491592264454	0.0728492	-2.27515
246	4	8	3	0.0053068	0.0728477865140733	0.0728478	-2.27517
247	-1	6	2	0.0053068	0.0728477865140733	0.0728478	-2.27517
248	-1	8	3	0.0053067	0.0728471001481871	0.0728471	-2.27518
249	-1	8	2	0.0053067	0.0728471001481871	0.0728471	-2.27518
250	-1	6	2	0.0053066	0.0728464137758339	0.0728464	-2.27518
251	8	6	2	0.0053066	0.0728464137758339	0.0728464	-2.27518
252	-1	8	3	0.0053066	0.0728464137758339	0.0728464	-2.27518
253	-1	8	2	0.0053065	0.0728457273970135	0.0728457	-2.27519
254	-1	8	2	0.0053065	0.0728457273970135	0.0728457	-2.27519
255	1	2	1	0.0053063	0.0728443546199704	0.0728444	-2.27521
256	-1	8	3	0.0053062	0.0728436682217473	0.0728437	-2.27522
257	-1	8	2	0.0053062	0.0728436682217473	0.0728437	-2.27522
258	-1	8	3	0.0053061	0.0728429818170563	0.072843	-2.27522
259	-1	8	3	0.005306	0.0728422954058972	0.0728423	-2.27523
260	-1	8	2	0.0053058	0.072840922564174	0.0728409	-2.27525
261	-1	8	3	0.0053057	0.0728402361336096	0.0728402	-2.27526
262	-1	6	2	0.0053056	0.0728395496965762	0.0728395	-2.27527
263	2	8	2	0.0053056	0.0728395496965762	0.0728395	-2.27527
264	6	6	2	0.0053055	0.0728388632530739	0.0728389	-2.27527
265	4	8	3	0.0053055	0.0728388632530739	0.0728389	-2.27527
