ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
742	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
743	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
744	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
745	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
746	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
747	-1	6	2	7.8e-06	0.00279284800875379	0.00279285	-5.10791
748	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
749	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
750	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
751	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
752	-1	8	3	7.7e-06	0.00277488738510232	0.00277489	-5.11351
753	-1	8	2	7.7e-06	0.00277488738510232	0.00277489	-5.11351
754	-1	8	3	7.7e-06	0.00277488738510232	0.00277489	-5.11351
755	-1	6	2	7.7e-06	0.00277488738510232	0.00277489	-5.11351
